dataset,state,year,number_of_rows,column,noise_type,proportion
decennial_census,AK,2020,719300,age,copy_from_household_member,0.8461629361879606
decennial_census,AK,2030,713310,age,copy_from_household_member,0.7133840826569093
decennial_census,AK,2040,716943,age,copy_from_household_member,0.6508927487959294
decennial_census,AL,2020,4902168,age,copy_from_household_member,0.812700625519158
decennial_census,AL,2030,5066726,age,copy_from_household_member,0.6841453435611083
decennial_census,AL,2040,5149687,age,copy_from_household_member,0.6232202073640593
decennial_census,AR,2020,3093966,age,copy_from_household_member,0.8173211987462047
decennial_census,AR,2030,3077282,age,copy_from_household_member,0.6777708380317436
decennial_census,AR,2040,3104655,age,copy_from_household_member,0.6110984956460541
decennial_census,AZ,2020,7500895,age,copy_from_household_member,0.8244850781140117
decennial_census,AZ,2030,7979499,age,copy_from_household_member,0.6863350694072398
decennial_census,AZ,2040,8180930,age,copy_from_household_member,0.6203831349247579
decennial_census,CA,2020,39618534,age,copy_from_household_member,0.8569541720044462
decennial_census,CA,2030,40037847,age,copy_from_household_member,0.7163152654037566
decennial_census,CA,2040,40290235,age,copy_from_household_member,0.6445721153028767
decennial_census,CO,2020,5804579,age,copy_from_household_member,0.8285305445924674
decennial_census,CO,2030,6096234,age,copy_from_household_member,0.699125394464845
decennial_census,CO,2040,6211119,age,copy_from_household_member,0.6366426081999073
decennial_census,CT,2020,3717712,age,copy_from_household_member,0.8256309256876272
decennial_census,CT,2030,3873267,age,copy_from_household_member,0.6963700152868366
decennial_census,CT,2040,3916574,age,copy_from_household_member,0.6326723304602441
decennial_census,DC,2020,638290,age,copy_from_household_member,0.746521173761143
decennial_census,DC,2030,692719,age,copy_from_household_member,0.6941891300801624
decennial_census,DC,2040,708537,age,copy_from_household_member,0.654104161109441
decennial_census,DE,2020,982110,age,copy_from_household_member,0.8105996273329872
decennial_census,DE,2030,988670,age,copy_from_household_member,0.6575379044575035
decennial_census,DE,2040,996504,age,copy_from_household_member,0.5844291643585977
decennial_census,FL,2020,21123234,age,copy_from_household_member,0.8169232514301551
decennial_census,FL,2030,22507492,age,copy_from_household_member,0.6866027098887784
decennial_census,FL,2040,22959862,age,copy_from_household_member,0.6247750966447446
decennial_census,GA,2020,10544399,age,copy_from_household_member,0.8292248804317819
decennial_census,GA,2030,10704156,age,copy_from_household_member,0.6891570900125148
decennial_census,GA,2040,10895334,age,copy_from_household_member,0.6236052056779535
decennial_census,HI,2020,1434723,age,copy_from_household_member,0.8507948921150633
decennial_census,HI,2030,1493534,age,copy_from_household_member,0.709511802208721
decennial_census,HI,2040,1516039,age,copy_from_household_member,0.6397876307931393
decennial_census,IA,2020,3330296,age,copy_from_household_member,0.8069171629188516
decennial_census,IA,2030,3393454,age,copy_from_household_member,0.6703718394296785
decennial_census,IA,2040,3453900,age,copy_from_household_member,0.6045693274269666
decennial_census,ID,2020,1857397,age,copy_from_household_member,0.8328418749464978
decennial_census,ID,2030,1984361,age,copy_from_household_member,0.6901481131709402
decennial_census,ID,2040,2053528,age,copy_from_household_member,0.6257377547323436
decennial_census,IL,2020,13207053,age,copy_from_household_member,0.8210757539929612
decennial_census,IL,2030,13443389,age,copy_from_household_member,0.6911527294196427
decennial_census,IL,2040,13573869,age,copy_from_household_member,0.6249673545545489
decennial_census,IN,2020,6904081,age,copy_from_household_member,0.8291031058297259
decennial_census,IN,2030,7135731,age,copy_from_household_member,0.7051323823725979
decennial_census,IN,2040,7233967,age,copy_from_household_member,0.6452307565129893
decennial_census,KS,2020,3018623,age,copy_from_household_member,0.8320611749131972
decennial_census,KS,2030,3106265,age,copy_from_household_member,0.7111164050716857
decennial_census,KS,2040,3151358,age,copy_from_household_member,0.6531162121218852
decennial_census,KY,2020,4677069,age,copy_from_household_member,0.8199598936855539
decennial_census,KY,2030,4944259,age,copy_from_household_member,0.6891756681840494
decennial_census,KY,2040,5059299,age,copy_from_household_member,0.6271679139738529
decennial_census,LA,2020,4601393,age,copy_from_household_member,0.812828636893219
decennial_census,LA,2030,4852149,age,copy_from_household_member,0.6885511965935094
decennial_census,LA,2040,4982225,age,copy_from_household_member,0.630060264239371
decennial_census,MA,2020,7212623,age,copy_from_household_member,0.8217163159643863
decennial_census,MA,2030,7690001,age,copy_from_household_member,0.6909123938995586
decennial_census,MA,2040,7856039,age,copy_from_household_member,0.6279821166875572
decennial_census,MD,2020,6259432,age,copy_from_household_member,0.827335451523397
decennial_census,MD,2030,6525804,age,copy_from_household_member,0.6869080039792798
decennial_census,MD,2040,6675894,age,copy_from_household_member,0.6201461557058875
decennial_census,ME,2020,1464055,age,copy_from_household_member,0.7875749203411074
decennial_census,ME,2030,1588701,age,copy_from_household_member,0.6517828087223461
decennial_census,ME,2040,1629112,age,copy_from_household_member,0.5847173183918601
decennial_census,MI,2020,10368543,age,copy_from_household_member,0.8195773504531929
decennial_census,MI,2030,10357551,age,copy_from_household_member,0.6920691966662775
decennial_census,MI,2040,10363646,age,copy_from_household_member,0.629159757097068
decennial_census,MN,2020,5937060,age,copy_from_household_member,0.8222165516265626
decennial_census,MN,2030,6214952,age,copy_from_household_member,0.6928795266640837
decennial_census,MN,2040,6351673,age,copy_from_household_member,0.6298913687779581
decennial_census,MO,2020,6419237,age,copy_from_household_member,0.8190274015432052
decennial_census,MO,2030,6745818,age,copy_from_household_member,0.6939862593387488
decennial_census,MO,2040,6878874,age,copy_from_household_member,0.6337912280411009
decennial_census,MS,2020,2938604,age,copy_from_household_member,0.8289415654508059
decennial_census,MS,2030,2979232,age,copy_from_household_member,0.7045825904125627
decennial_census,MS,2040,3014725,age,copy_from_household_member,0.6467276451417625
decennial_census,MT,2020,1102960,age,copy_from_household_member,0.7999474142307972
decennial_census,MT,2030,1109503,age,copy_from_household_member,0.6693312230791625
decennial_census,MT,2040,1107482,age,copy_from_household_member,0.6047231467418883
decennial_census,NC,2020,10746698,age,copy_from_household_member,0.8134549793806433
decennial_census,NC,2030,11447316,age,copy_from_household_member,0.6803455063178129
decennial_census,NC,2040,11761307,age,copy_from_household_member,0.6177756434722773
decennial_census,ND,2020,822699,age,copy_from_household_member,0.7764322066758316
decennial_census,ND,2030,832209,age,copy_from_household_member,0.6299823722165946
decennial_census,ND,2040,855557,age,copy_from_household_member,0.5576378897022641
decennial_census,NE,2020,2075241,age,copy_from_household_member,0.8152041136427046
decennial_census,NE,2030,2117013,age,copy_from_household_member,0.6758739790450035
decennial_census,NE,2040,2162576,age,copy_from_household_member,0.6093959241201234
decennial_census,NH,2020,1424514,age,copy_from_household_member,0.8291480462810474
decennial_census,NH,2030,1495855,age,copy_from_household_member,0.6967119139221382
decennial_census,NH,2040,1508398,age,copy_from_household_member,0.6320725697064038
decennial_census,NJ,2020,9538383,age,copy_from_household_member,0.8387294785709486
decennial_census,NJ,2030,10432479,age,copy_from_household_member,0.7029548777428644
decennial_census,NJ,2040,10773825,age,copy_from_household_member,0.636521848090163
